building_area,roof_height,borough,construction_year,area_type,green_roof_area,clusters_5
7298,26,BX,1990,commercial,5365,0
5127,267,MN,1990,industrial,540,3
4885,79,MN,1900,commercial,1680,3
59798,85,BK,1900,residential,1181,0
12389,160,BX,1960,residential,1740,0
16188,142,BK,1930,residential,499,0
4905,14,MN,1990,industrial,955,3
16597,80,MN,1960,commercial,867,3
57561,8,MN,1930,residential,9622,4
17186,155,MN,1990,commercial,4960,3
8587,113,MN,1900,commercial,942,3
734,49,MN,1900,industrial,41,3
22095,605,MN,1990,commercial,699,1
1614,21,QN,1900,commercial,241,0
12322,54,BK,1990,industrial,2412,0
13655,127,MN,1930,industrial,1960,3
12822,210,MN,1930,commercial,636,3
10204,64,BX,1990,commercial,3974,0
3074,29,BK,1930,residential,290,0
23806,295,MN,1930,residential,1398,1
17920,336,MN,1900,commercial,734,1
43385,49,BK,1930,commercial,3417,0
28805,83,MN,1960,residential,9409,4
35650,299,MN,1960,residential,5178,1
2856,62,BK,1930,residential,1365,0
2562,90,MN,1850,residential,247,3
24043,319,MN,1960,industrial,363,1
2836,91,MN,1900,industrial,123,3
13588,129,MN,1930,industrial,2091,3
36956,331,MN,1900,commercial,1929,1
71875,179,MN,1960,industrial,2642,1
1507,43,MN,1990,residential,78,3
14039,228,MN,1930,commercial,262,3
2495,88,MN,1900,residential,195,3
57157,281,QN,1900,residential,1368,1
6611,183,MN,1900,commercial,226,3
522,49,MN,1900,commercial,280,3
162276,79,QN,1990,commercial,8915,2
20021,491,MN,1960,industrial,6688,1
1696,75,MN,1990,commercial,220,3
585,40,BK,1990,commercial,360,0
13756,168,MN,1900,residential,726,3
71917,92,MN,1960,commercial,5484,2
940,39,MN,1850,commercial,161,3
20275,149,QN,1930,residential,1160,0
9725,77,BX,1990,industrial,1957,0
157733,296,BK,1960,residential,9518,2
45605,328,MN,1990,residential,3103,1
16739,104,QN,1960,residential,888,0
4375,70,MN,1900,residential,520,3
9354,142,BK,1930,commercial,369,0
3800,25,BK,1930,residential,163,0
2455,76,MN,1900,industrial,390,3
76300,273,MN,1960,commercial,12892,4
26433,198,MN,1990,commercial,5808,1
47484,122,SI,1990,commercial,7636,4
4343,93,MN,1900,commercial,832,3
17873,40,BX,1900,industrial,5639,0
9451,70,BK,1990,public,667,0
23742,188,MN,1990,industrial,1127,3
4251,50,BK,1990,commercial,633,0
47340,259,MN,1990,residential,4063,1
3220,28,BK,1930,commercial,621,0
17717,143,MN,1900,residential,2194,3
34048,294,BK,1960,commercial,4347,1
6897,177,MN,1990,residential,126,3
23800,60,BK,1990,industrial,2084,0
127092,191,BK,1900,residential,2441,2
24653,300,MN,1990,industrial,2467,1
8061,94,MN,1900,commercial,263,3
2010,29,BK,1900,industrial,307,0
8882,117,MN,1990,residential,2843,3
17787,25,MN,1930,commercial,1372,3
27154,403,MN,1960,public,1315,1
9437,161,MN,1960,residential,1538,3
4862,120,BK,1990,commercial,80,0
2821,55,MN,1900,residential,930,3
1731,91,MN,1900,commercial,752,3
7247,140,MN,1930,commercial,565,3
2633,68,MN,1900,residential,643,3
