,building_area,ratio_green_area,roof_height,ground_elev,xcoord,ycoord,borough,construction_year,digitized,area_type,green_roof_area,clusters_6
669,10579,0.12,132,35,-73.92757,40.82158,BX,1990,0,commercial,1317,2
670,10586,0.03,258,30,-73.97334,40.7476,MN,1990,0,commercial,367,3
671,5952,0.24,45,12,-74.00792,40.73797,MN,1930,0,residential,1418,3
672,14609,0.07,57,15,-74.00896,40.72176,MN,1960,0,residential,1074,3
673,7158,0.63,67,61,-73.88953,40.83378,BX,1990,0,commercial,4492,2
674,647,0.18,49,63,-73.97189,40.69209,BK,1900,0,commercial,115,4
675,862,0.55,35,11,-73.9508,40.71737,BK,1900,0,commercial,470,4
676,58449,0.01,150,44,-73.99224,40.7238,MN,1850,0,residential,380,3
677,23809,0.01,17,14,-73.95628,40.7369,BK,1930,0,residential,216,3
678,2283,0.23,92,18,-73.98384,40.72605,MN,1900,0,industrial,530,3
679,56132,0.46,27,114,-73.95048,40.81585,MN,1930,0,residential,26045,0
680,1254,0.13,55,107,-73.95591,40.78367,MN,1900,0,industrial,167,2
681,12477,0.56,8,12,-73.84048,40.83903,BX,1960,1,residential,6935,2
682,16336,0.08,50,16,-74.01114,40.71795,MN,1960,0,residential,1323,3
683,17263,0.06,76,18,-73.95552,40.7134,BK,1900,0,residential,997,3
684,22751,0.04,213,16,-73.94888,40.79634,MN,1990,0,industrial,873,3
685,1464,0.21,52,68,-73.99702,40.69493,BK,1850,0,commercial,308,4
686,2558,0.13,38,10,-73.95089,40.71737,BK,1930,0,industrial,327,4
687,14438,0.19,78,16,-73.91593,40.81464,BX,1990,1,commercial,2678,2
688,11634,0.16,63,46,-73.91117,40.84749,BX,1990,1,residential,1846,2
689,9559,0.24,67,39,-73.89943,40.81476,BX,1990,1,industrial,2276,2
690,36217,0.34,142,27,-73.97466,40.7429,MN,1960,0,commercial,12332,3
691,178941,0.0,76,48,-73.79531,40.70178,QN,1960,0,residential,722,1
692,94358,0.11,145,41,-73.98302,40.69134,BK,1990,0,residential,10755,5
693,59259,0.04,376,11,-74.01085,40.71967,MN,1960,0,residential,2400,5
694,28514,0.06,34,9,-74.00901,40.73974,MN,1990,0,residential,1797,3
695,30002,0.09,53,12,-74.0112,40.71817,MN,1960,0,commercial,2649,3
696,10766,0.2,40,65,-73.81652,40.70537,QN,1850,0,commercial,2155,1
697,4632,0.07,164,65,-73.97881,40.75744,MN,1900,0,industrial,339,3
698,35424,0.08,97,32,-73.99394,40.74683,MN,1960,1,commercial,2711,3
699,43540,0.11,217,35,-73.99255,40.74227,MN,1990,0,commercial,4803,5
700,2182,0.09,80,19,-73.93857,40.80761,MN,1990,0,commercial,193,3
701,2379,0.48,34,20,-73.98325,40.67933,BK,1930,1,commercial,1134,4
702,133265,0.11,48,20,-73.85659,40.82161,BX,1960,1,commercial,15220,1
703,5876,0.12,99,132,-73.89933,40.86012,BX,1990,0,residential,729,2
704,17962,0.38,25,15,-73.95696,40.72246,BK,1990,0,industrial,6789,4
705,20294,0.44,75,44,-73.89253,40.831,BX,1990,0,residential,8906,2
706,4429,0.42,52,12,-73.87832,40.84034,BX,1930,0,residential,1849,2
707,6946,0.26,21,52,-73.95834,40.77328,MN,1990,0,industrial,1821,3
708,4452,0.04,95,65,-73.96493,40.77424,MN,1930,0,residential,176,3
709,35560,0.03,343,38,-73.9922,40.76504,MN,1990,0,residential,1040,5
710,53465,0.05,449,38,-73.99826,40.75691,MN,1990,0,commercial,2939,5
711,2111,0.07,46,44,-73.97674,40.74879,MN,1900,1,residential,157,3
712,12299,0.08,13,59,-73.93695,40.67938,BK,1990,0,residential,989,4
713,1274,0.21,39,25,-73.9968,40.73457,MN,1850,0,commercial,264,3
714,1266,0.07,46,51,-73.97612,40.68054,BK,1850,0,residential,84,4
715,52671,0.24,272,12,-74.00629,40.74339,MN,1990,0,residential,12428,5
716,3267,0.58,71,117,-73.96401,40.80448,MN,1930,0,residential,1889,2
717,3850,0.14,61,45,-73.99214,40.68873,BK,1930,0,residential,522,4
718,48925,0.04,91,10,-73.9433,40.7864,MN,1990,0,commercial,1928,3
719,47429,0.32,544,18,-74.00232,40.71371,MN,1930,1,residential,15313,5
720,99099,0.01,64,70,-73.9864,40.77521,MN,1960,0,residential,1072,5
