green_roof_area,building_area,ratio_green_area,construction_year,roof_height,ground_elev,digitized,borough,xcoord,ycoord,area_type
4622,57327,0.08,1930,38,12,1,BK,-73.95969,40.73428,commercial
224,592,0.38,1800,18,64,1,BK,-73.99399,40.69982,industrial
545,62952,0.01,1930,245,11,0,MN,-74.00637,40.72364,residential
778,2493,0.31,1900,67,32,0,MN,-74.00785,40.71435,industrial
1482,6076,0.24,1990,107,72,1,BX,-73.90496,40.85351,commercial
303,7777,0.04,1990,217,43,0,MN,-73.97904,40.74639,residential
2035,4886,0.42,1990,47,1,1,SI,-74.0724,40.62993,commercial
320,1467,0.22,1990,46,46,1,BK,-73.92721,40.70239,commercial
1601,2214,0.72,1990,57,26,0,BX,-73.91911,40.85357,residential
691,10520,0.07,1900,60,156,0,BX,-73.89956,40.86924,residential
1198,10996,0.11,1990,103,109,0,BX,-73.91953,40.84215,residential
5171,81471,0.06,1930,442,36,0,MN,-73.98658,40.74159,residential
1419,6959,0.2,1990,147,12,0,QN,-73.93974,40.75182,commercial
3511,19139,0.18,1990,51,21,0,BX,-73.90778,40.87985,industrial
4420,46819,0.09,1960,35,7,0,BX,-73.92119,40.85395,residential
60,2103,0.03,1900,100,28,0,MN,-73.99037,40.71326,public
2810,8384,0.34,1990,73,45,1,BX,-73.8945,40.85736,residential
8855,44246,0.2,1960,297,81,0,BK,-73.99243,40.6977,residential
8406,29285,0.29,1930,70,62,0,QN,-73.8357,40.72077,residential
3950,20300,0.19,1900,19,8,0,MN,-74.00349,40.70478,residential
4222,39532,0.11,1960,130,85,0,BK,-73.99183,40.69627,commercial
862,3227,0.27,1930,42,16,0,MN,-74.00668,40.73775,residential
538,1652,0.33,1900,46,29,0,MN,-73.98171,40.74455,residential
905,6530,0.14,1990,36,41,0,MN,-73.99419,40.72695,commercial
437,2910,0.15,1930,54,116,0,BX,-73.89713,40.85705,industrial
8324,163605,0.05,1930,103,56,0,QN,-73.82459,40.74697,residential
23421,108557,0.22,1990,194,9,0,QN,-73.83522,40.75695,residential
1396,1882,0.74,1990,51,32,0,BX,-73.91876,40.85393,commercial
674,3306,0.2,1900,41,31,0,MN,-73.98742,40.71872,residential
367,945,0.39,1900,42,14,0,MN,-73.97985,40.73642,commercial
4233,20574,0.21,1900,134,33,1,MN,-73.99455,40.74097,residential
1039,65516,0.02,1930,71,10,0,MN,-73.97333,40.73641,commercial
9737,69806,0.14,1990,740,9,1,MN,-74.01452,40.71437,residential
254,5605,0.05,1900,86,42,0,MN,-73.99069,40.73788,residential
3137,48764,0.06,1900,132,139,1,MN,-73.96115,40.80916,industrial
121,717,0.17,1930,37,18,1,BK,-74.00354,40.68239,residential
1496,23565,0.06,1990,405,68,0,MN,-73.98399,40.76431,residential
1404,14830,0.09,1960,64,26,0,MN,-74.00492,40.73446,commercial
2521,43011,0.06,1960,97,22,0,BX,-73.84386,40.84787,commercial
4197,33126,0.13,1930,52,56,1,BX,-73.87043,40.84715,commercial
303,11144,0.03,1900,154,68,0,MN,-73.96093,40.77465,public
6729,19785,0.34,1990,185,35,0,BK,-73.95828,40.71857,residential
676,7845,0.09,1900,171,13,0,MN,-74.01018,40.70476,residential
2534,23539,0.11,1990,122,16,0,MN,-73.93456,40.80262,commercial
6555,87895,0.07,1930,103,17,0,QN,-73.85142,40.74705,commercial
449,8079,0.06,1900,75,14,0,MN,-74.00785,40.72974,public
295,5554,0.05,1990,39,32,0,QN,-73.87691,40.73853,industrial
231,986,0.23,1990,56,17,0,MN,-73.94065,40.80099,residential
1313,2538,0.52,1900,47,27,0,BX,-73.89573,40.82022,residential
277317,692314,0.4,1960,175,15,1,MN,-74.00239,40.75795,residential
2112,18066,0.12,1990,93,31,0,BX,-73.89717,40.82159,industrial
1134,14285,0.08,1900,255,38,0,MN,-73.9927,40.73777,residential
405,678,0.6,1850,54,27,0,MN,-74.00331,40.73599,commercial
1491,26728,0.06,1900,167,21,0,MN,-73.99587,40.76367,residential
3185,12189,0.26,1930,60,93,1,BK,-73.95644,40.67735,industrial
7992,85500,0.09,1930,1238,50,1,MN,-73.98571,40.74847,industrial
421,4834,0.09,1900,151,38,0,MN,-73.99208,40.74126,commercial
45,1121,0.04,1990,46,26,1,BK,-73.94966,40.71087,commercial
2367,9397,0.25,1990,218,35,0,MN,-73.989,40.71917,residential
573,808,0.71,1850,40,51,0,BK,-73.9517,40.68477,commercial
3654,8587,0.43,1930,16,19,1,MN,-74.00005,40.73087,residential
6325,9955,0.64,1960,16,10,0,BK,-73.99775,40.67368,residential
764,23141,0.03,1960,301,78,0,MN,-73.98141,40.77552,industrial
5942,94054,0.06,1990,50,14,0,MN,-73.99309,40.7715,residential
3945,14421,0.27,1990,142,7,0,MN,-74.01344,40.71004,commercial
2206,17407,0.13,1990,89,23,0,MN,-73.95136,40.76881,commercial
925,3168,0.29,1990,85,35,0,MN,-73.99376,40.76241,residential
2674,6740,0.4,1990,29,8,0,BX,-73.90773,40.88074,residential
190,4375,0.04,1850,75,64,0,MN,-73.96506,40.7738,residential
5060,59643,0.08,1990,126,7,0,BK,-73.9956,40.57383,residential
2496,16847,0.15,1900,98,61,0,BK,-73.96466,40.65354,residential
320,1903,0.17,1960,47,120,0,BK,-73.9755,40.66976,residential
